oui	companyName
A8:D0:E5	Juniper Networks
60:27:1C	Videor E. Hartig GmbH
80:A2:35	Edgecore Networks Corp
9C:58:3C	"Apple, Inc"
00:0A:0A	"Sunix Co, Ltd"
00:0E:98	Hme Clear-Com Ltd
1C:AA:07	"Cisco Systems, Inc"
F4:73:CA	Conversion Sound Inc
B0:18:86	SmarDTV
04:11:19:C	"Haerbin Donglin Tech Co, Ltd"
70:B3:D5:C0:1	SmartGuard Llc
00:80:86	Computer Generation Inc
D8:C4:E9	"Samsung Electronics Co, Ltd"
6C:34:91	"Huawei Tech Co, Ltd"
24:5D:FC:2	Blue Iris Labs
00:0C:CF	"Cisco Systems, Inc"
00:0F:9B	Ross Video Ltd
00:1A:A1	"Cisco Systems, Inc"
00:50:C2:CF:C	Tritium Pty Ltd
50:97:72	Westinghouse Digital
9C:9D:5D	Raden Inc
00:03:F6	"Allegro Networks, Inc"
00:30:49	"Bryant Tech, Ltd"
60:47:62	"Beijing Sensoro Tech Co, Ltd"
70:B3:D5:2C:0	Sensative AB
00:19:DE	Mobitek
F0:BC:C8	MaxID (Pty) Ltd
A0:77:51	ASMedia Tech Inc
58:95:D8:A	Peak Communications Ltd
54:A5:1B	"Huawei Tech Co, Ltd"
00:50:C2:F4:E	Heinzinger electronic GmbH
70:B3:D5:03:3	Sailmon BV
BC:39:D9	Z-Tec
90:86:74	"Sichuan Tianyi Comheart Telecomco.,Ltd"
44:67:47	"Huawei Tech Co, Ltd"
00:50:C2:DF:1	Saia Burgess Controls AG
34:81:37	Unicard SA
BC:34:00:7	Q-Products a. s.
FC:19:10	"Samsung Electronics Co, Ltd"
5C:DC:96	Arcadyan Tech Corp
70:B3:D5:09:8	Alcodex Tech Private Ltd
00:50:C2:E1:4	Calixto Systems Pvt Ltd
18:26:66	"Samsung Electronics Co, Ltd"
00:00:84	Supernet
00:08:14	Til Tech
00:08:C6	Philips Consumer Communications
00:0D:95	"Opti-cell, Inc"
00:16:01	Buffalo.Inc
00:17:4B	Nokia Danmark A/S
44:FB:5A	zte Corp
00:50:C2:12:E	Runcom
00:11:B3	"Yoshimiya Co, Ltd"
4C:80:BA	"Wuhan Tianyu Information Industry Co, Ltd"
70:B3:D5:F6:6	"Seznam.cz, a.s., Cz26168685"
00:12:5B	Kaimei Electroni
00:22:98	Sony Corp
30:E4:DB	"Cisco Systems, Inc"
1C:87:79:0	Wurm GmbH & Co KG Elektronische Systeme
00:00:37	Oxford Metrics Ltd
40:D8:55:1B:6	Magic Systems
B0:F5:30	Hitron Tech Inc
00:50:6F	G-Connect
50:68:0A	"Huawei Tech Co, Ltd"
A4:93:40	"Beijing Supvan Information Tech Co, Ltd"
A4:BE:61	"EutroVision System, Inc"
14:49:E0	Samsung Electro-Mechanics(Thailand)
8C:BE:BE	Xiaomi Communications Co Ltd
60:15:92:9	"Jiangsu Sunfy Tech Holding Co, Ltd"
24:EC:51	Adf Tech Sdn Bhd
E0:EB:40	"Apple, Inc"
00:10:EB	"Selsius Systems, Inc"
00:14:94	Esu AG
00:50:C2:8F:8	Rmsd Ltd
A8:55:6A	3S System Tech Inc
D0:17:6A	"Samsung Electronics Co, Ltd"
44:78:3E	"Samsung Electronics Co, Ltd"
40:F0:78	"Cisco Systems, Inc"
DC:03:98	LG innotek
4C:2F:D7	"Huawei Device Co, Ltd"
E8:A7:30	"Apple, Inc"
00:0B:9E	Yasing Tech Corp
00:12:96	Addlogix
84:7E:40	Texas Instruments
70:B3:D5:A6:D	Metek Meteorologische Messtechnik GmbH
70:B3:D5:7B:2	Rail Power Systems GmbH
70:B3:D5:F8:A	Frs GmbH & Co KG
20:CE:2A:7	"Beijing Huadianzhongxin TechCo, Ltd"
00:50:C2:11:C	Stonefly Networks
00:0C:EC	Orolia Usa
64:EB:8C	Seiko Epson Corp
70:B3:D5:A4:0	Strack Lift Automation GmbH
70:B3:D5:FD:1	RedRat Ltd
C8:45:8F	Wyler AG
EC:35:86	"Apple, Inc"
BC:A9:20	"Apple, Inc"
00:03:6A	"Mainnet, Ltd"
00:05:1C	Xnet Tech Corp
00:50:C2:13:9	SR Research Ltd
00:50:C2:36:1	Contec
00:24:36	"Apple, Inc"
E4:67:BA	Danish Interpretation Systems A/S
34:C3:AC	"Samsung Electronics Co, Ltd"
D0:D4:12	Adb Broadband Italia
D8:1D:72	"Apple, Inc"
24:28:FD	"Hangzhou Hikvision Digital Tech Co, Ltd"
F4:90:CB:1	Delem BV
00:12:B1	"Dai Nippon Printing Co, Ltd"
10:09:0C	"Janome Sewing Machine Co, Ltd"
00:50:C2:A7:7	Keith & Koep GmbH
00:FC:58	WebSilicon Ltd
00:50:C2:FE:0	Azurtest
D4:EC:86	"LinkedHope Intelligent Tech Co, Ltd"
4C:4B:F9:4	"Shenzhen dingsheng Tech Co, Ltd"
70:B3:D5:FF:A	Barracuda Measurement Solutions
00:1E:66	Resol Elektronische Regelungen GmbH
00:27:0B	Adura Tech
00:27:19	"TP-Link Tech Co, Ltd"
00:50:C2:D9:4	"Software Effect Enterprises, Inc"
9C:6C:15	Microsoft Corp
E8:07:34	"Champion Optical Network Engineering, Llc"
C8:F5:D6:3	Bbpos International Ltd
00:50:D6	Atlas Copco Tools AB
A0:93:51	"Cisco Systems, Inc"
40:2C:76:6	"Guangzhou Lango Electronics Tech Co, Ltd"
40:BC:68	"Wuhan Funshion Online Tech Co, Ltd"
00:0E:E9	"WayTech Development, Inc"
0C:6A:BC	"Fiberhome Telecommunication Tech Co, Ltd"
C4:E3:9F	"Guangdong Oppo Mobile Telecommunications Corp, Ltd"
70:B3:D5:CB:D	Preo Industries Far East Ltd
00:60:4E	"Cycle Computer Corp, Inc"
00:0C:26	Weintek Labs. Inc
00:16:88	ServerEngines Llc
24:82:8A	Prowave Tech Ltd
70:B3:D5:11:A	Private
00:50:C2:40:F	"Bir, Inc"
00:1C:26	"Hon Hai Precision Ind. Co, Ltd"
54:2C:EA	Protectron
F4:29:81	"vivo Mobile Communication Co, Ltd"
60:BA:18	nextLAP GmbH
BC:97:40:3	Precision Galaxy Pvt. Ltd
00:00:B2	"Televideo Systems, Inc"
00:04:A7	FabiaTech Corp
00:50:C2:3E:6	Crde
88:78:73	Intel Corp
8C:59:3C:8	Nanonord A/S
00:50:C2:F1:F	"Verified Energy, Llc"
74:A0:2F	"Cisco Systems, Inc"
00:A0:F7	V.I Computer Corp
00:14:6F	Kohler Co
00:1F:A4	"Shenzhen Gongjin Electronics Co, LT"
84:90:00	Arnold&Richter Cine Technik GmbH & Co Betriebs KG
00:50:C2:E1:F	Elvees
74:FF:7D	"Wren Sound Systems, Llc"
3C:E8:24	"Huawei Tech Co, Ltd"
18:74:E2:1	Sartorius Lab Instruments GmbH & Co KG
00:15:06	Neo Photonics
CC:26:2D	"Verifi, Llc"
C0:C3:B6	Automatic Systems
80:7B:85:E	Mersen
6C:56:40	Blu Products Inc
44:D5:CC	Amazon Tech Inc
00:A0:4F	Ameritec Corp
00:16:93	PowerLink Tech Inc
00:17:B8	"Novatron Co, Ltd"
